3438756329909,3438758769643
3439576162009,3439582415297
3440584214250,3440590364636
3441592931400,3441599075186
3442601563749,3442607661135
3443610443702,3443615988979
3444616957121,3444622939705
3445625368667,3445631180048
3446631797472,3446637357438
3447638959381,3447644905453
10420494565640,10420497565882
10421314251390,10421320936783
10422321086654,10422327818448
10423328497826,10423335058718
10424335902498,10424342293688
10425344378827,10425350612315
10426352343106,10426358401291
10427360393285,10427366472471
10428367759255,10428373849741
10429375652633,10429382166524
